s,p,d,c,o,id,n,Long,Lat
no-water-state-data,04,0402,28,GDYN,153190070,BACHOTEK,19.450277777777778,53.312777777777775
no-water-state-data,24,2414,211,KRAK,150190060,BOJSZOWY,19.108333333333334,50.06111111111111
no-water-state-data,06,0612,23,KRAK,151210130,BÓR,21.878055555555555,51.01416666666667
no-water-state-data,30,3031,1886,POZN,153170020,BUNTOWO,17.1275,53.26638888888889
no-water-state-data,12,1215,2134,KRAK,149190490,BYSTRA 2,19.783611111111114,49.651666666666664
no-water-state-data,22,2202,292,GDYN,153170080,CHARZYKOWY,17.508333333333333,53.73777777777778
no-water-state-data,28,2814,5844,SOWR,153200140,DADAJ,20.8875,53.85805555555556
no-water-state-data,30,3009,1832,POZN,152180150,DĄBIE,18.823888888888888,52.084722222222226
no-water-state-data,24,2403,211,KRAK,149180080,DROGOMYŚL,18.749444444444446,49.88583333333333
no-water-state-data,10,1011,183,POZN,151180220,GRABINA,18.762777777777778,51.76111111111111
no-water-state-data,30,3018,184,POZN,151180190,GRABÓW NAD PROSNĄ,18.124166666666667,51.51
no-water-state-data,30,3009,183,POZN,152180140,GRZEGORZEW,18.74277777777778,52.2
no-water-state-data,08,0802,174,WROC,151140010,GUBIN,14.706944444444444,51.971944444444446
no-water-state-data,32,3214,198,POZN,153150060,IŃSKO,15.545,53.439166666666665
no-water-state-data,24,2403,114,WROC,149180130,ISTEBNA,18.892777777777777,49.57194444444445
no-water-state-data,12,1202,213,KRAK,150200130,JAGODNIKI,20.681944444444447,50.20055555555556
no-water-state-data,22,2206,294,GDYN,153170130,JEZIORNA,17.91472222222222,53.95638888888889
no-water-state-data,26,2603,213,KRAK,150200190,KAMYSZÓW,20.474166666666665,50.30416666666667
no-water-state-data,14,1409,23,KRAK,151210220,KOLONIA NADWIŚLAŃSKA,21.790555555555557,51.124722222222225
no-water-state-data,30,3009,183,POZN,152180110,KOŚCIELEC,18.575277777777778,52.17527777777777
no-water-state-data,20,2013,267146,SOWR,152220100,KOZARZE,22.476388888888888,52.66972222222222
no-water-state-data,12,1206,213,KRAK,150190480,KRAKÓW-ŁAGIEWNIKI,19.93777777777778,50.011944444444445
no-water-state-data,22,2212,472,GDYN,154170020,KRĘPA,17.049166666666668,54.41861111111111
no-water-state-data,14,1422,2654,SOWR,153210010,KRUKOWO,21.108055555555556,53.30888888888889
no-water-state-data,04,0407,1881,POZN,152180080,KRUSZWICA,18.327222222222222,52.674166666666665
no-water-state-data,32,3203,1888,POZN,153150140,LUBIESZEWO,15.940833333333334,53.458333333333336
no-water-state-data,12,1217,2141,KRAK,149200100,ŁYSA POLANA,20.115000000000002,49.26361111111111
no-water-state-data,28,2818,582,SOWR,154210100,MIEDUNISZKI,21.979999999999997,54.32638888888889
no-water-state-data,06,0608,24,KRAK,151220050,MŁYNISKA,22.386666666666667,51.54277777777778
no-water-state-data,32,3217,18865994,POZN,153160060,NAKIELNO,16.304722222222225,53.26416666666667
